"gender";"seoul";"busan";"daegu";"incheon";"gwangju";"daejeon";"ulsan";"sejong";"gyeonggi";"gangwon";"chungbuk";"chungnam";"jeonbuk";"jeonnam";"gyeongbuk";"gyeongnam";"jeju"
"남자";7.026745638940773;5.438629749703115;2.4125336183441;4.224599080509338;1.509944811895012;2.8657289076506594;1.7420876618809187;0.8890192280925312;14.83907825575838;11.531628082019111;4.625210822294118;8.565301076594315;6.383599154884369;8.12605325263652;8.28188583243838;8.296428756077896;3.2415260702804534
"여자";7.195772498606028;5.450259140566416;2.1691362249471493;4.189792098339123;1.3739741222292214;2.306730817583499;1.5129454775155409;0.6054547102842186;15.42872563932249;11.839703758013664;3.864228567801652;7.776690498272572;6.612596841543136;8.169995418180571;8.977151690425352;8.508976550815202;4.017865945554171
"전체";7.110469998647102;5.444392130355742;2.291973527131893;4.2073578548929955;1.4425955103107717;2.588848114464947;1.6285885662078585;0.7485608633069077;15.131140606959141;11.68422553383824;4.248279968050585;8.17468477518815;6.497028393450774;8.14781753834736;8.62626413701239;8.401709747964052;3.6260627338710902
