"largeGov";"natureT";"historyT";"vactionT";"cultureT";"subT"
"강원도";36.77333333333333;6.5200000000000005;3.94;3.1233333333333335;19.593333333333334
"경기도";19.47;4.093333333333334;4.193333333333333;3.296666666666667;11.346666666666666
"경상남도";27.91333333333333;12.06;4.093333333333334;3.36;21.18
"경상북도";29.123333333333335;20.363333333333333;4.303333333333334;5.246666666666666;16.790000000000003
"광주광역시";11.156666666666666;3.3866666666666667;2.703333333333333;12.020000000000001;20.176666666666666
"대구광역시";18.599999999999998;4.920000000000001;6.859999999999999;7.539999999999999;14.746666666666664
"대전광역시";16.836666666666666;2.27;6.513333333333333;6.28;16.056666666666665
"부산광역시";26.41;5.866666666666667;3.4600000000000004;5.8566666666666665;18.903333333333332
"서울특별시";15.63;4.383333333333333;3.39;9.103333333333333;20.82
"세종특별자치시";29.560000000000002;3.2133333333333334;11.103333333333332;5.166666666666667;8.923333333333334
"울산광역시";35.54;5.703333333333333;3.206666666666667;6.28;23.536666666666665
"인천광역시";37.1;3.186666666666667;1.18;2.723333333333333;15.963333333333333
"전국";26.44333333333333;6.396666666666666;3.86;4.866666666666666;17.096666666666668
"전라남도";38.88333333333333;9.336666666666666;3.67;4.183333333333334;22.736666666666668
"전라북도";33.50666666666667;11.476666666666667;3.7899999999999996;5.193333333333333;21.810000000000002
"제주특별자치도";38.913333333333334;1.42;6.13;8.313333333333333;23.083333333333332
"충청남도";39.75666666666667;10.416666666666666;2.6966666666666668;4.3;17.736666666666665
"충청북도";23.026666666666667;6.623333333333334;1.9766666666666666;2.13;21.44666666666667
