"large_gov";"small_gov";"region_lat";"region_long"
"서울";"중구";"37.56384767683224";"126.99759461354942"
"서울";"종로구";"37.5736214404057";"126.97897326936808"
"서울";"용산구";"37.532624140747586";"126.99020418285819"
"서울";"성동구";"37.563471219832294";"127.03632966183784"
"서울";"광진구";"37.547275564703966";"127.08990130469232"
"서울";"동대문구";"37.5746195579431";"127.03981780005861"
"서울";"중랑구";"37.60676355813348";"127.09263731406215"
"서울";"성북구";"37.589493503089486";"127.01679664238637"
"서울";"강북구";"37.639963587125514";"127.02549694053342"
"서울";"도봉구";"37.66700402411505";"127.03367184405148"
"서울";"노원구";"37.6540841519113";"127.05833732811513"
"서울";"은평구";"37.60131293103812";"126.93050135780177"
"서울";"서대문구";"37.57942223119501";"126.93648386936768"
"서울";"마포구";"37.566218451400616";"126.90145774053157"
"서울";"양천구";"37.51708693688491";"126.86659658471193"
"서울";"강서구";"37.55125089371308";"126.84952696662582"
"서울";"구로구";"37.495623500587584";"126.88768201354765"
"서울";"금천구";"37.45691146329999";"126.89541122703787"
"서울";"영등포구";"37.526539680887026";"126.89622381169434"
"서울";"동작구";"37.512599986427105";"126.93977824053019"
"서울";"관악구";"37.47825533935641";"126.95144952729424"
"서울";"서초구";"37.48372722499375";"127.03267172703835"
"서울";"강남구";"37.517313455136986";"127.04734830431426"
"서울";"송파구";"37.514611812176724";"127.10607642703918"
"서울";"강동구";"37.5301274324817";"127.12377755076318"
"부산";"중구";"35.1063213227883";"129.03240637116272"
"부산";"서구";"35.098073606495205";"129.02420409814465"
"부산";"동구";"35.1294843714364";"129.0454972981454"
"부산";"영도구";"35.09142314856654";"129.0678839693082"
"부산";"부산진구";"35.163366854759644";"129.05299374047357"
"부산";"동래구";"35.196729064769166";"129.09307584047437"
"부산";"남구";"35.136797626374126";"129.08427898465467"
"부산";"북구";"35.19742212440608";"128.99032008465593"
"부산";"강서구";"35.21241475965297";"128.98063741349256"
"부산";"해운대구";"35.16327251605554";"129.16359426930993"
"부산";"사하구";"35.10455176786896";"128.97480743260425"
"부산";"금정구";"35.242982778363945";"129.0921524404755"
"부산";"연제구";"35.17639707171253";"129.0796520269828"
"부산";"수영구";"35.14572596498209";"129.11323741349108"
"부산";"사상구";"35.15279621004446";"128.9911341647112"
"부산";"기장군";"35.24478429963477";"129.22224196931185"
"대구";"중구";"35.86949244008084";"128.6060886269991"
"대구";"동구";"35.88678381770609";"128.63559062699971"
"대구";"서구";"35.87192315195811";"128.55914934049028"
"대구";"남구";"35.84616132766155";"128.5977342269987"
"대구";"북구";"35.885829827526315";"128.582903082818"
"대구";"수성구";"35.85842973695562";"128.63066888467162"
"대구";"달서구";"35.82994264418523";"128.5326226404892"
"대구";"달성군";"35.77477640290052";"128.43131366932417"
"인천";"중구";"37.4746080464039";"126.62167126936568"
"인천";"동구";"37.47405864796886";"126.64330844238344"
"인천";"미추홀구";"37.46364911392667";"126.65028649820178"
"인천";"연수구";"37.41044942687396";"126.67834088470934"
"인천";"남동구";"37.44730115213766";"126.73148033814579"
"인천";"부평구";"37.50697945416458";"126.72191094238433"
"인천";"계양구";"37.53757115943711";"126.73772254053083"
"인천";"서구";"37.545489237752726";"126.67601525587642"
"인천";"강화군";"37.7468103001581";"126.48793827122661"
"인천";"옹진군";"37.446658236707385";"126.63679034052859"
"광주";"광산구";"35.139861856443545";"126.79359290978256"
"광주";"동구";"35.146260209546035";"126.92317614232728"
"광주";"서구";"35.15246376766236";"126.88960284047327"
"광주";"남구";"35.13299993956186";"126.90255724232715"
"광주";"북구";"35.174408715592435";"126.91201326931011"
"대전";"동구";"36.312048923041765";"127.45476302515569"
"대전";"중구";"36.32575210040884";"127.42135952701011"
"대전";"서구";"36.35561211585138";"127.38434741115412"
"대전";"유성구";"36.36250219427637";"127.35610005584738"
"대전";"대덕구";"36.34689130965921";"127.41557209817437"
"울산";"중구";"35.56966864595222";"129.33279475582833"
"울산";"남구";"35.54402519382683";"129.33015390000938"
"울산";"동구";"35.505178697194225";"129.41669188280906"
"울산";"북구";"35.58279562375899";"129.36121762175085"
"울산";"울주군";"35.52222789019059";"129.24247481164574"
"세종";"세종시";"36.48031303967988";"127.28868969632343"
"경기";"수원시";"37.26350199090631";"127.02860641701776"
"경기";"고양시";"37.658368766044774";"126.83200306913346"
"경기";"용인시";"37.24121560346493";"127.17793149796027"
"경기";"성남시";"37.4195919704325";"127.12587100365793"
"경기";"화성시";"37.205882293168116";"126.81273138937208"
"경기";"부천시";"37.50351160062938";"126.76580080011605"
"경기";"남양주시";"37.609228096315725";"127.17818607995089"
"경기";"안산시";"37.3219466084153";"126.83085519343241"
"경기";"안양시";"37.394369963884515";"126.95686468458165"
"경기";"평택시";"36.99235040314156";"127.11269365687166"
"경기";"시흥시";"37.38016113225358";"126.80284851145746"
"경기";"김포시";"37.615535748572476";"126.71549391330835"
"경기";"파주시";"37.759905405841984";"126.77986766873273"
"경기";"의정부시";"37.738241701403105";"127.03375445564085"
"경기";"광주시";"37.42953547669291";"127.25518501330484"
"경기";"하남시";"37.53946480331656";"127.21496865563661"
"경기";"광명시";"37.47869257793928";"126.86467356912993"
"경기";"군포시";"37.361781037278405";"126.93518462679782"
"경기";"양주시";"37.78539720839168";"127.04570416728977"
"경기";"구리시";"37.59436938973293";"127.12974239796728"
"경기";"오산시";"37.14993904950301";"127.07746056912308"
"경기";"안성시";"37.008175862733296";"127.27971888261472"
"경기";"의왕시";"37.34484558000475";"126.96830999796241"
"경기";"이천시";"37.27233095633714";"127.43501231145532"
